"Dam","Cohort","BroodRef","BroodName","ID","EventDate","Month_Yr","male_brood_WPO","male_brood_EPO","Male_Year_WPO","Male_Year_EPO","Number_Broods_with_Partner","M_EPP_Year","M_EPP_brood","Sex","Age"
8693,2017,2279,"Q117",8498,2017-06-06,"2017-06",8,0,14,4,5,1,0,"1",2
5284,2017,2280,"Q118",9267,2017-06-06,"2017-06",3,0,5,0,5,0,0,"1",1
9163,2017,2281,"Q114",8965,2017-06-06,"2017-06",4,0,7,0,3,0,0,"1",1
9130,2017,2282,"Q115",6808,2017-06-06,"2017-06",2,0,4,1,3,1,0,"1",4
9100,2017,2283,"Q119",8365,2017-06-07,"2017-06",2,0,6,0,3,0,0,"1",2
6643,2017,2284,"Q120",7814,2017-06-07,"2017-06",3,1,10,10,12,1,1,"1",3
9113,2017,2286,"Q122",9133,2017-06-08,"2017-06",3,0,5,0,3,0,0,"1",1
9132,2017,2287,"Q123",8949,2017-06-08,"2017-06",5,0,10,0,3,0,0,"1",1
8559,2017,2290,"Q126",4900,2017-06-09,"2017-06",3,0,8,0,4,0,0,"1",7
9121,2017,2291,"Q127",9143,2017-06-09,"2017-06",2,0,6,0,7,0,0,"1",1
8589,2017,2292,"Q128",8499,2017-06-09,"2017-06",5,0,13,1,5,1,0,"1",2
8943,2017,2293,"Q129",5195,2017-06-10,"2017-06",1,0,3,1,3,1,0,"1",6
8607,2017,2295,"Q131",8515,2017-06-11,"2017-06",3,2,4,2,9,1,1,"1",2
9268,2017,2296,"Q132",4943,2017-06-12,"2017-06",3,0,3,1,2,1,0,"1",7
8855,2017,2298,"Q134",9222,2017-06-13,"2017-06",2,0,5,0,3,0,0,"1",1
8963,2017,2299,"Q135",8878,2017-06-13,"2017-06",1,0,3,0,2,0,0,"1",1
8722,2017,2300,"Q136",9144,2017-06-03,"2017-06",5,0,5,0,1,0,0,"1",1
9066,2017,2302,"Q138",8391,2017-06-14,"2017-06",4,0,9,0,2,0,0,"1",2
8966,2017,2304,"Q140",6927,2017-06-14,"2017-06",1,1,6,6,3,1,1,"1",4
8849,2017,2305,"Q141",8752,2017-06-14,"2017-06",4,1,9,1,7,1,1,"1",NA
8956,2017,2306,"Q142",8850,2017-06-15,"2017-06",2,0,5,0,2,0,0,"1",1
9117,2017,2308,"Q144",9076,2017-06-16,"2017-06",3,0,3,0,1,0,0,"1",1
8710,2017,2309,"Q145",7160,2017-06-16,"2017-06",3,0,9,0,5,0,0,"1",4
6555,2017,2310,"Q146",8480,2017-06-16,"2017-06",1,0,6,0,2,0,0,"1",2
9027,2017,2311,"Q147",8865,2017-06-16,"2017-06",2,2,5,2,1,1,1,"1",1
8398,2017,2312,"Q148",9073,2017-06-16,"2017-06",1,0,4,0,2,0,0,"1",1
9252,2017,2314,"Q150",9273,2017-06-17,"2017-06",4,0,7,0,1,0,0,"1",1
9050,2017,2315,"Q151",9233,2017-06-18,"2017-06",4,0,4,2,3,1,0,"1",1
7616,2017,2316,"Q152",9272,2017-06-18,"2017-06",3,0,3,0,1,0,0,"1",1
6724,2017,2317,"Q153",8906,2017-06-18,"2017-06",5,0,12,0,6,0,0,"1",1
9249,2017,2320,"Q156",9185,2017-06-19,"2017-06",4,0,6,0,6,0,0,"1",1
9033,2017,2321,"Q157",8811,2017-06-14,"2017-06",2,0,2,0,1,0,0,"1",1
9239,2017,2322,"Q158",9260,2017-06-09,"2017-06",2,0,2,0,1,0,0,"1",1
9099,2017,2324,"Q160",8652,2017-06-21,"2017-06",1,0,5,1,3,1,0,"1",2
8750,2017,2325,"Q161",8983,2017-06-21,"2017-06",4,0,4,0,3,0,0,"1",1
9654,2017,2328,"Q164",9007,2017-06-18,"2017-06",2,0,2,0,1,0,0,"1",1
4976,2017,2329,"Q165",8707,2017-06-08,"2017-06",3,2,8,2,3,1,1,"1",2
8610,2017,2330,"Q166",6978,2017-06-13,"2017-06",4,0,7,1,3,1,0,"1",4
8959,2017,2332,"Q168",8912,2017-06-15,"2017-06",3,0,3,0,1,0,0,"1",1
6974,2017,2333,"Q169",6921,2017-06-29,"2017-06",4,0,8,5,11,1,0,"1",4
8726,2017,2334,"Q170",7615,2017-06-29,"2017-06",6,0,9,0,5,0,0,"1",3
8867,2017,2335,"Q171",6270,2017-06-30,"2017-06",3,0,3,0,1,0,0,"1",5
9159,2017,2336,"Q172",9240,2017-06-30,"2017-06",2,0,2,0,1,0,0,"1",1
9121,2017,2338,"Q174",9143,2017-07-01,"2017-07",1,0,6,0,7,0,0,"1",1
8559,2017,2339,"Q175",4900,2017-07-01,"2017-07",1,0,8,0,4,0,0,"1",7
9573,2017,2340,"Q176",9071,2017-06-22,"2017-06",4,0,4,0,1,0,0,"1",1
8943,2017,2341,"Q177",5195,2017-07-04,"2017-07",2,0,3,1,3,1,0,"1",6
9214,2017,2343,"Q179",5466,2017-07-06,"2017-07",5,0,10,1,3,1,0,"1",6
8966,2017,2344,"Q180",6927,2017-07-06,"2017-07",4,2,6,6,3,1,1,"1",4
8448,2017,2345,"Q181",8947,2017-06-28,"2017-06",2,0,2,0,3,0,0,"1",1
9046,2017,2346,"Q182",8498,2017-07-07,"2017-07",3,4,14,4,2,1,1,"1",2
9083,2017,2347,"Q183",8729,2017-07-08,"2017-07",3,0,9,0,2,0,0,"1",2
8855,2017,2348,"Q184",9222,2017-07-08,"2017-07",1,0,5,0,3,0,0,"1",1
6955,2017,2349,"Q185",6924,2017-07-08,"2017-07",3,0,11,0,10,0,0,"1",4
8979,2017,2351,"Q186",5466,2017-07-09,"2017-07",5,0,10,1,1,1,0,"1",6
6316,2017,2352,"Q188",6517,2017-07-09,"2017-07",2,0,2,0,4,0,0,"1",5
8055,2017,2354,"Q190",5466,2017-07-14,"2017-07",5,0,10,1,2,1,0,"1",6
5284,2017,2356,"Q192",9267,2017-07-15,"2017-07",2,0,5,0,5,0,0,"1",1
9130,2017,2357,"Q193",6808,2017-07-16,"2017-07",1,1,4,1,3,1,1,"1",4
6643,2017,2361,"Q197",7814,2017-07-17,"2017-07",1,6,10,10,12,1,1,"1",3
8989,2017,2362,"Q198",8830,2017-07-17,"2017-07",2,0,5,0,4,0,0,"1",1
8690,2017,2363,"Q199",8502,2017-07-17,"2017-07",1,0,4,2,6,1,0,"1",2
8849,2017,2365,"Q201",8752,2017-07-18,"2017-07",2,0,9,1,7,1,0,"1",NA
9100,2017,2366,"Q202",8365,2017-07-18,"2017-07",1,0,6,0,3,0,0,"1",2
9132,2017,2367,"Q203",8949,2017-07-19,"2017-07",2,0,10,0,3,0,0,"1",1
8434,2017,2369,"Q205",6915,2017-07-19,"2017-07",2,0,5,0,7,0,0,"1",4
6755,2017,2371,"Q207",8888,2017-07-20,"2017-07",2,0,5,0,6,0,0,"1",1
6724,2017,2376,"Q212",8906,2017-07-22,"2017-07",3,0,12,0,6,0,0,"1",1
4976,2017,2377,"Q213",8707,2017-07-14,"2017-07",1,0,8,2,3,1,0,"1",2
8941,2017,2378,"Q214",8567,2017-07-09,"2017-07",1,1,1,7,2,1,1,"1",2
6643,2018,2484,"R105",9182,2018-06-06,"2018-06",2,5,6,6,4,1,1,"1",2
6643,2018,2541,"R160",9182,2018-07-11,"2018-07",1,0,6,6,4,1,0,"1",2
7616,2018,2514,"R133",9120,2018-06-20,"2018-06",4,1,6,1,2,1,1,"1",2
8398,2018,2536,"R155",9416,2018-07-08,"2018-07",4,0,7,0,2,0,0,"1",1
8610,2018,2551,"R170",6978,2018-07-16,"2018-07",3,0,4,3,1,1,0,"1",5
9066,2018,2552,"R171",5466,2018-07-18,"2018-07",4,0,17,0,1,0,0,"1",7
9121,2018,2549,"R168",9143,2018-07-16,"2018-07",5,0,11,0,7,0,0,"1",2
9249,2018,2523,"R142",9185,2018-06-25,"2018-06",2,0,4,1,6,1,0,"1",2
9377,2018,2415,"R033",5466,2018-04-30,"2018-04",8,0,17,0,3,0,0,"1",7
9377,2018,2482,"R103",5466,2018-06-05,"2018-06",2,0,17,0,3,0,0,"1",7
9474,2018,2499,"R118",9592,2018-06-12,"2018-06",1,1,1,1,2,1,1,"1",1
9549,2018,2503,"R122",9133,2018-06-14,"2018-06",5,0,8,0,2,0,0,"1",2
9562,2018,2461,"R079",8910,2018-05-14,"2018-05",1,0,2,0,2,0,0,"1",2
9571,2018,2430,"R048",8978,2018-05-06,"2018-05",3,3,7,4,1,1,1,"1",2
8055,2018,2384,"R002",9251,2018-04-02,"2018-04",2,0,4,0,2,0,0,"1",NA
9377,2018,2385,"R003",5466,2018-04-06,"2018-04",8,0,17,0,3,0,0,"1",7
9254,2018,2386,"R004",9240,2018-04-06,"2018-04",2,0,3,0,3,0,0,"1",2
9159,2018,2388,"R006",8652,2018-04-07,"2018-04",7,0,18,1,4,1,0,"1",3
6643,2018,2389,"R007",9182,2018-04-08,"2018-04",3,0,6,6,4,1,0,"1",2
9214,2018,2391,"R009",5466,2018-04-08,"2018-04",8,0,17,0,3,0,0,"1",7
9066,2018,2392,"R010",9893,2018-04-10,"2018-04",2,0,6,0,1,0,0,"1",1
8434,2018,2394,"R012",6915,2018-04-10,"2018-04",1,0,4,3,7,1,0,"1",5
5284,2018,2395,"R013",9267,2018-04-11,"2018-04",4,0,8,0,5,0,0,"1",2
9066,2018,2393,"R011",6808,2018-04-10,"2018-04",2,0,10,0,1,0,0,"1",5
9121,2018,2399,"R017",9143,2018-04-13,"2018-04",2,0,11,0,7,0,0,"1",2
6724,2018,2398,"R016",8906,2018-04-13,"2018-04",1,0,6,0,6,0,0,"1",2
8726,2018,2411,"R029",7615,2018-04-16,"2018-04",3,0,6,0,5,0,0,"1",4
9046,2018,2413,"R031",7689,2018-04-19,"2018-04",3,0,6,0,3,0,0,"1",4
8979,2018,2401,"R019",8652,2018-04-23,"2018-04",7,0,18,1,2,1,0,"1",3
8448,2018,2417,"R035",8947,2018-04-22,"2018-04",3,0,7,1,3,1,0,"1",2
9258,2018,2405,"R023",9134,2018-04-22,"2018-04",4,0,4,1,1,1,0,"1",2
8750,2018,2403,"R021",8983,2018-04-23,"2018-04",4,1,8,1,3,1,1,"1",2
8956,2018,2420,"R038",9564,2018-04-23,"2018-04",3,0,10,0,3,0,0,"1",1
8849,2018,2410,"R028",8752,2018-04-24,"2018-04",2,2,8,3,7,1,1,"1",NA
6755,2018,2409,"R027",8888,2018-04-24,"2018-04",2,0,6,0,6,0,0,"1",2
9159,2018,2416,"R034",8652,2018-04-30,"2018-04",7,0,18,1,4,1,0,"1",3
9214,2018,2421,"R039",5466,2018-05-02,"2018-05",3,0,17,0,3,0,0,"1",7
9066,2018,2428,"R046",9893,2018-05-05,"2018-05",1,0,6,0,2,0,0,"1",1
9121,2018,2431,"R049",9143,2018-05-06,"2018-05",1,0,11,0,7,0,0,"1",2
8687,2018,2432,"R050",8649,2018-05-06,"2018-05",2,0,5,0,2,0,0,"1",3
7616,2018,2437,"R056",9120,2018-05-08,"2018-05",2,0,6,1,2,1,0,"1",2
9268,2018,2435,"R053",4943,2018-05-07,"2018-05",4,0,8,2,2,1,0,"1",8
9050,2018,2436,"R054",9233,2018-05-07,"2018-05",1,1,3,1,3,1,1,"1",2
9549,2018,2433,"R051",9133,2018-05-07,"2018-05",3,0,8,0,2,0,0,"1",2
8055,2018,2444,"R062",9251,2018-05-09,"2018-05",2,0,4,0,2,0,0,"1",NA
8941,2018,2434,"R052",9000,2018-05-07,"2018-05",1,0,2,0,4,0,0,"1",2
9595,2018,2442,"R061",9626,2018-05-08,"2018-05",3,0,5,0,1,0,0,"1",1
5284,2018,2446,"R064",9267,2018-05-09,"2018-05",3,0,8,0,5,0,0,"1",2
8559,2018,2451,"R069",4900,2018-05-10,"2018-05",4,0,4,0,4,0,0,"1",8
9046,2018,2455,"R073",7689,2018-05-11,"2018-05",2,0,6,0,3,0,0,"1",4
8434,2018,2454,"R072",6915,2018-05-10,"2018-05",3,0,4,3,7,1,0,"1",5
9082,2018,2458,"R076",9223,2018-05-12,"2018-05",4,0,4,0,3,0,0,"1",2
9249,2018,2457,"R075",9185,2018-05-13,"2018-05",2,0,4,1,6,1,0,"1",2
9100,2018,2460,"R078",6808,2018-05-14,"2018-05",4,0,10,0,4,0,0,"1",5
8806,2018,2459,"R077",9782,2018-05-13,"2018-05",3,0,3,0,1,0,0,"1",1
8979,2018,2462,"R082",8652,2018-05-16,"2018-05",4,0,18,1,2,1,0,"1",3
8607,2018,2464,"R081",8515,2018-05-15,"2018-05",1,0,1,0,9,0,0,"1",3
6955,2018,2466,"R084",6924,2018-05-23,"2018-05",2,0,2,0,10,0,0,"1",5
8956,2018,2471,"R092",9564,2018-05-28,"2018-05",3,0,10,0,3,0,0,"1",1
8726,2018,2474,"R090",7615,2018-05-27,"2018-05",3,0,6,0,5,0,0,"1",4
8989,2018,2475,"R087",8830,2018-05-27,"2018-05",4,0,5,6,4,1,0,"1",2
9931,2018,2479,"R094",8770,2018-05-27,"2018-05",3,0,3,0,1,0,0,"1",2
8750,2018,2473,"R095",8983,2018-05-31,"2018-05",4,0,8,1,3,1,0,"1",2
8448,2018,2480,"R099",8947,2018-06-02,"2018-06",4,1,7,1,3,1,1,"1",2
6755,2018,2477,"R098",8888,2018-06-02,"2018-06",1,0,6,0,6,0,0,"1",2
8398,2018,2487,"R100",9416,2018-06-03,"2018-06",3,0,7,0,2,0,0,"1",1
9159,2018,2478,"R101",8652,2018-06-03,"2018-06",4,0,18,1,4,1,0,"1",3
8849,2018,2490,"R109",8752,2018-06-07,"2018-06",3,0,8,3,7,1,0,"1",NA
9066,2018,2494,"R113",9893,2018-06-11,"2018-06",3,0,6,0,2,0,0,"1",1
9121,2018,2495,"R114",9143,2018-06-11,"2018-06",3,0,11,0,7,0,0,"1",2
8941,2018,2496,"R115",9000,2018-06-11,"2018-06",1,0,2,0,4,0,0,"1",2
8687,2018,2498,"R117",8649,2018-06-11,"2018-06",3,0,5,0,2,0,0,"1",3
9099,2018,2500,"R119",8652,2018-06-12,"2018-06",4,0,18,1,3,1,0,"1",3
9214,2018,2501,"R120",8978,2018-06-13,"2018-06",4,1,7,4,3,1,1,"1",2
9562,2018,2513,"R132",8910,2018-06-19,"2018-06",1,0,2,0,2,0,0,"1",2
9050,2018,2510,"R129",9233,2018-06-17,"2018-06",2,0,3,1,3,1,0,"1",2
5284,2018,2511,"R130",9267,2018-06-18,"2018-06",1,0,8,0,5,0,0,"1",2
6724,2018,2521,"R140",8906,2018-06-24,"2018-06",5,0,6,0,6,0,0,"1",2
9100,2018,2522,"R141",6808,2018-06-25,"2018-06",4,0,10,0,4,0,0,"1",5
9082,2018,2527,"R146",9626,2018-07-02,"2018-07",2,0,5,0,1,0,0,"1",1
8956,2018,2528,"R147",9564,2018-07-02,"2018-07",4,0,10,0,3,0,0,"1",1
9570,2018,2533,"R152",9222,2018-07-04,"2018-07",2,0,2,0,1,0,0,"1",2
9159,2018,2531,"R150",8652,2018-07-04,"2018-07",3,1,18,1,4,1,1,"1",3
8989,2018,2532,"R151",8830,2018-07-04,"2018-07",1,0,5,6,4,1,0,"1",2
9817,2018,2535,"R154",4943,2018-07-05,"2018-07",4,0,8,2,1,1,0,"1",8
8849,2018,2546,"R165",8752,2018-07-14,"2018-07",3,1,8,3,7,1,1,"1",NA
6755,2018,2544,"R163",8888,2018-07-12,"2018-07",3,0,6,0,6,0,0,"1",2
9471,2018,2553,"R172",9667,2018-07-18,"2018-07",2,0,2,0,2,0,0,"1",1
6555,2018,2556,"R175",9633,2018-07-20,"2018-07",3,0,3,0,1,0,0,"1",1
8610,2018,2422,"R040",6978,2018-05-02,"2018-05",1,0,4,3,3,1,0,"1",5
9099,2018,2463,"R080",8652,2018-05-15,"2018-05",4,0,18,1,3,1,0,"1",3
9254,2018,2488,"R107",9240,2018-06-07,"2018-06",1,0,3,0,3,0,0,"1",2
8851,2018,2497,"R116",9116,2018-06-11,"2018-06",1,2,1,2,1,1,1,"1",2
9046,2018,2509,"R128",7689,2018-06-17,"2018-06",1,0,6,0,3,0,0,"1",4
8693,2019,2577,"T021",8906,2019-05-20,"2019-05",3,0,5,1,2,1,0,"1",3
9214,2019,2580,"T022",8978,2019-05-21,"2019-05",5,0,9,2,3,1,0,"1",3
9249,2019,2581,"T023",9185,2019-05-21,"2019-05",4,0,8,0,6,0,0,"1",3
9951,2019,2594,"T038",10580,2019-05-23,"2019-05",4,0,4,0,1,0,0,"1",1
10154,2019,2601,"T046",10535,2019-05-24,"2019-05",3,0,7,0,2,0,0,"1",NA
10154,2019,2648,"T092",10535,2019-07-07,"2019-07",4,0,7,0,2,0,0,"1",NA
4976,2019,2630,"T074",8188,2019-06-29,"2019-06",1,0,1,0,1,0,0,"1",5
8607,2019,2575,"T019",8515,2019-05-20,"2019-05",2,0,6,0,9,0,0,"1",4
8607,2019,2640,"T084",8515,2019-07-03,"2019-07",4,0,6,0,9,0,0,"1",4
8693,2019,2622,"T066",8906,2019-06-26,"2019-06",2,0,5,1,2,1,0,"1",3
8849,2019,2579,"T027",9416,2019-05-21,"2019-05",1,3,4,3,2,1,1,"1",2
8849,2019,2651,"T095",9416,2019-07-08,"2019-07",3,0,4,3,2,1,0,"1",2
8941,2019,2583,"T025",9000,2019-05-21,"2019-05",2,0,4,0,4,0,0,"1",3
8941,2019,2631,"T075",9000,2019-06-29,"2019-06",2,0,4,0,4,0,0,"1",3
9046,2019,2565,"T009",9144,2019-05-19,"2019-05",3,0,3,2,1,1,0,"1",3
9066,2019,2560,"T004",9893,2019-04-24,"2019-04",1,0,11,0,3,0,0,"1",2
9066,2019,2569,"T013",9893,2019-05-20,"2019-05",5,0,11,0,3,0,0,"1",2
9066,2019,2625,"T069",9893,2019-06-29,"2019-06",5,0,11,0,3,0,0,"1",2
9099,2019,2616,"T060",8978,2019-06-10,"2019-06",1,0,9,2,2,1,0,"1",3
9100,2019,2573,"T017",6808,2019-05-20,"2019-05",2,0,5,0,4,0,0,"1",6
9100,2019,2632,"T076",6808,2019-06-30,"2019-06",3,0,5,0,4,0,0,"1",6
9121,2019,2574,"T018",9667,2019-05-20,"2019-05",2,0,7,0,2,0,0,"1",2
9121,2019,2623,"T067",9667,2019-06-27,"2019-06",5,0,7,0,2,0,0,"1",2
9214,2019,2650,"T094",8978,2019-07-07,"2019-07",3,2,9,2,3,1,1,"1",3
9249,2019,2656,"T100",9185,2019-07-10,"2019-07",4,0,8,0,6,0,0,"1",3
9471,2019,2620,"T064",9667,2019-06-23,"2019-06",5,0,7,0,2,0,0,"1",2
9562,2019,2596,"T040",9633,2019-05-23,"2019-05",3,0,3,0,1,0,0,"1",2
9813,2019,2615,"T059",9134,2019-06-09,"2019-06",3,0,4,5,2,1,0,"1",3
9813,2019,2657,"T101",9134,2019-07-10,"2019-07",1,0,4,5,2,1,0,"1",3
9871,2019,2566,"T010",9116,2019-05-19,"2019-05",5,0,9,0,2,0,0,"1",3
9871,2019,2642,"T086",9116,2019-07-05,"2019-07",4,0,9,0,2,0,0,"1",3
9931,2019,2597,"T041",8649,2019-05-22,"2019-05",2,0,2,0,1,0,0,"1",4
10339,2019,2595,"T039",8567,2019-05-23,"2019-05",2,0,2,0,1,0,0,"1",4
10347,2019,2634,"T078",10197,2019-07-01,"2019-07",2,0,2,0,1,0,0,"1",1
10350,2019,2612,"T056",10022,2019-05-29,"2019-05",4,0,7,0,2,0,0,"1",1
10350,2019,2647,"T091",10022,2019-07-06,"2019-07",3,0,7,0,2,0,0,"1",1
10351,2019,2607,"T051",9116,2019-05-25,"2019-05",5,0,9,0,1,0,0,"1",3
10377,2019,2617,"T061",10584,2019-06-14,"2019-06",1,0,1,0,1,0,0,"1",1
10578,2019,2590,"T034",9459,2019-05-22,"2019-05",1,0,2,0,2,0,0,"1",2
10578,2019,2658,"T102",9459,2019-07-12,"2019-07",1,0,2,0,2,0,0,"1",2
10581,2019,2600,"T044",9093,2019-05-24,"2019-05",4,0,8,0,2,0,0,"1",3
10581,2019,2652,"T096",9093,2019-07-08,"2019-07",4,0,8,0,2,0,0,"1",3
