Year,BirdID,BirdID_Year,Annual_Number_Broods,Annual_Number_Eggs,Annual_Hatchlings,Annual_Fledgelings_Genetic,AnnFledgeRaised,Age,Survival_CurrentYear,Genetic_Recruits,eti,sti,fti,pti,Sex
2007,3466,3466Y2007,1,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
2007,3478,3478Y2007,3,13,4,0,0,1,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2007,3496,3496Y2007,2,9,5,3,2,1,1,0,1,0.00881001,-0.003319714,0.005490296,1
2008,3496,3496Y2008,3,13,13,8,8,2,1,5,6,0.014492754,0.086956522,0.101449275,1
2009,3496,3496Y2009,2,8,6,5,5,3,1,4,5,0.007164404,0.052790347,0.059954751,1
2010,3496,3496Y2010,1,1,3,1,1,4,1,1,2,0.005926251,-0.024143986,-0.018217735,1
2011,3496,3496Y2011,2,0,7,2,4,5,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2009,3684,3684Y2009,3,14,11,4,4,2,1,2,3,0.007164404,0.013574661,0.020739065,1
2010,3684,3684Y2010,3,3,6,4,4,3,1,4,5,0.005926251,0.020632133,0.026558385,1
2011,3684,3684Y2011,4,1,11,7,7,4,0,3,3,-0.002055498,0.017420349,0.015364851,1
2009,3717,3717Y2009,3,15,15,5,5,2,1,0,1,0.007164404,-0.025641026,-0.018476621,1
2010,3717,3717Y2010,3,2,9,5,5,3,0,3,3,-0.008999122,0.00570676,-0.003292362,1
2008,3764,3764Y2008,1,5,4,0,0,1,1,2,3,0.014492754,-0.043478261,-0.028985507,1
2009,3764,3764Y2009,2,9,8,5,5,2,1,1,2,0.007164404,-0.006033183,0.001131222,1
2010,3764,3764Y2010,2,2,6,4,4,3,1,5,6,0.005926251,0.035557507,0.041483758,1
2011,3764,3764Y2011,3,0,11,5,3,4,1,0,1,0.005138746,-0.004162384,0.000976362,1
2012,3764,3764Y2012,3,0,8,5,5,5,1,2,3,0.00172117,-0.000860585,0.000860585,1
2013,3764,3764Y2013,3,0,13,6,7,6,1,4,5,0.001802009,0.015144544,0.016946553,1
2014,3764,3764Y2014,3,0,12,4,6,7,0,1,1,-0.001168061,0.003242678,0.002074616,1
2008,3766,3766Y2008,1,4,3,3,3,1,0,2,2,-0.028985507,-0.043478261,-0.072463768,1
2009,4023,4023Y2009,2,8,3,3,3,1,0,1,1,-0.012443439,-0.006033183,-0.018476621,1
2009,4029,4029Y2009,2,7,6,4,4,1,1,0,1,0.007164404,-0.025641026,-0.018476621,1
2009,4033,4033Y2009,1,4,4,4,4,1,0,0,0,-0.012443439,-0.025641026,-0.038084465,1
2009,4039,4039Y2009,2,6,5,5,4,1,1,2,3,0.007164404,0.013574661,0.020739065,1
2010,4039,4039Y2010,2,2,7,5,5,2,0,5,5,-0.008999122,0.035557507,0.026558385,1
2009,4060,4060Y2009,2,8,5,4,3,1,1,0,1,0.007164404,-0.025641026,-0.018476621,1
2010,4060,4060Y2010,1,1,0,0,0,2,1,0,1,0.005926251,-0.039069359,-0.033143108,1
2011,4060,4060Y2011,4,0,13,8,7,3,0,1,1,-0.002055498,0.00303186,0.000976362,1
2009,4070,4070Y2009,2,9,5,4,4,1,1,2,3,0.007164404,0.013574661,0.020739065,1
2010,4070,4070Y2010,3,2,5,4,4,2,1,4,5,0.005926251,0.020632133,0.026558385,1
2011,4070,4070Y2011,2,0,5,2,3,3,0,2,2,-0.002055498,0.010226105,0.008170606,1
2010,4071,4071Y2010,3,3,13,3,3,2,1,1,2,0.005926251,-0.024143986,-0.018217735,1
2011,4071,4071Y2011,3,0,15,6,5,3,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2009,4072,4072Y2009,3,13,12,7,7,1,1,1,2,0.007164404,-0.006033183,0.001131222,1
2010,4072,4072Y2010,4,3,18,3,3,2,1,3,4,0.005926251,0.00570676,0.011633011,1
2011,4072,4072Y2011,1,0,3,2,3,NA,NA,NA,NA,NA,NA,NA,1
2009,4087,4087Y2009,2,8,7,6,6,1,1,2,3,0.007164404,0.013574661,0.020739065,1
2009,4098,4098Y2009,1,6,0,0,0,1,1,0,1,0.007164404,-0.025641026,-0.018476621,1
2011,4098,4098Y2011,3,1,8,3,3,3,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2010,4109,4109Y2010,2,1,4,2,2,2,1,2,3,0.005926251,-0.009218613,-0.003292362,1
2011,4109,4109Y2011,3,0,9,2,4,3,0,2,2,-0.002055498,0.010226105,0.008170606,1
2009,4117,4117Y2009,3,12,12,6,6,2,0,1,1,-0.012443439,-0.006033183,-0.018476621,1
2010,4119,4119Y2010,2,2,5,3,3,2,0,3,3,-0.008999122,0.00570676,-0.003292362,1
2001,4153,4153Y2001,2,10,9,7,5,1,1,2,3,0.001754386,0.005964912,0.007719298,1
2002,4153,4153Y2002,3,12,10,7,7,2,1,3,4,0.004703247,0.015341545,0.020044793,1
2003,4153,4153Y2003,3,13,12,10,11,3,1,3,4,0.001459702,0.01157335,0.013033052,1
2004,4153,4153Y2004,4,21,18,4,6,4,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,4153,4153Y2005,3,15,13,9,9,5,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,4153,4153Y2006,1,4,4,2,2,6,0,1,1,-0.002290076,0.003405755,0.001115678,1
2001,4158,4158Y2001,1,4,4,4,3,1,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2001,4229,4229Y2001,2,9,9,9,4,1,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2003,4229,4229Y2003,3,9,12,10,10,3,1,3,4,0.001459702,0.01157335,0.013033052,1
2004,4229,4229Y2004,2,10,10,3,6,4,1,3,4,0.001762632,0.01260282,0.014365452,1
2001,4230,4230Y2001,2,10,9,5,7,1,1,2,3,0.001754386,0.005964912,0.007719298,1
2002,4230,4230Y2002,3,14,13,12,11,2,1,4,5,0.004703247,0.025979843,0.030683091,1
2003,4230,4230Y2003,3,9,8,7,7,3,1,2,3,0.001459702,0.004326973,0.005786675,1
2004,4230,4230Y2004,3,8,8,1,4,4,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,4230,4230Y2005,5,20,12,7,6,5,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,4230,4230Y2006,1,5,3,0,0,6,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2001,4247,4247Y2001,1,4,4,3,3,1,1,0,1,0.001754386,-0.020701754,-0.018947368,1
2002,4247,4247Y2002,2,8,8,7,6,2,1,1,2,0.004703247,-0.00593505,-0.001231803,1
2003,4247,4247Y2003,2,10,5,2,2,3,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,4247,4247Y2004,3,12,10,4,4,4,0,1,1,-0.00367215,0.001733255,-0.001938895,1
2001,4264,4264Y2001,1,4,3,1,1,1,1,0,1,0.001754386,-0.020701754,-0.018947368,1
2002,4264,4264Y2002,2,11,10,1,0,2,1,1,2,0.004703247,-0.00593505,-0.001231803,1
2003,4264,4264Y2003,3,8,9,4,4,3,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,4264,4264Y2004,2,10,9,0,3,4,0,1,1,-0.00367215,0.001733255,-0.001938895,1
2001,4265,4265Y2001,3,12,12,6,6,1,1,0,1,0.001754386,-0.020701754,-0.018947368,1
2002,4265,4265Y2002,2,9,9,2,0,2,1,1,2,0.004703247,-0.00593505,-0.001231803,1
2003,4265,4265Y2003,3,10,9,6,6,3,1,2,3,0.001459702,0.004326973,0.005786675,1
2004,4265,4265Y2004,5,18,16,3,3,4,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,4265,4265Y2005,4,20,20,6,8,5,0,2,2,-0.002126963,0.006926265,0.004799302,1
2001,4274,4274Y2001,2,7,6,3,4,1,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2002,4274,4274Y2002,2,9,4,3,5,2,1,3,4,0.004703247,0.015341545,0.020044793,1
2003,4274,4274Y2003,2,4,4,4,4,3,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2001,4275,4275Y2001,2,10,9,7,8,1,1,4,5,0.001754386,0.032631579,0.034385965,1
2002,4275,4275Y2002,3,15,15,12,7,2,1,2,3,0.004703247,0.004703247,0.009406495,1
2003,4275,4275Y2003,4,13,12,7,10,3,1,3,4,0.001459702,0.01157335,0.013033052,1
2004,4275,4275Y2004,3,8,10,8,7,4,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,4275,4275Y2005,3,13,12,3,7,5,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2002,4282,4282Y2002,3,11,8,3,5,2,0,2,2,-0.00593505,0.004703247,-0.001231803,1
2001,4295,4295Y2001,2,8,7,6,7,1,1,0,1,0.001754386,-0.020701754,-0.018947368,1
2002,4295,4295Y2002,2,10,6,1,1,2,0,1,1,-0.00593505,-0.00593505,-0.011870101,1
2001,4303,4303Y2001,1,5,4,4,4,1,1,2,3,0.001754386,0.005964912,0.007719298,1
2002,4303,4303Y2002,3,12,10,8,6,2,1,5,6,0.004703247,0.036618141,0.041321389,1
2003,4303,4303Y2003,2,4,6,2,2,3,1,2,3,0.001459702,0.004326973,0.005786675,1
2001,4304,4304Y2001,1,4,3,3,3,1,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2002,4304,4304Y2002,2,9,8,7,7,2,1,3,4,0.004703247,0.015341545,0.020044793,1
2003,4304,4304Y2003,3,9,9,3,3,3,1,2,3,0.001459702,0.004326973,0.005786675,1
2004,4304,4304Y2004,2,8,7,1,0,4,1,3,4,0.001762632,0.01260282,0.014365452,1
2005,4304,4304Y2005,5,20,20,10,10,5,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,4304,4304Y2006,1,5,0,0,0,6,1,0,1,0.005402231,-0.004286553,0.001115678,1
2007,4304,4304Y2007,3,12,8,5,5,7,0,0,0,-0.002553626,-0.003319714,-0.00587334,1
2002,4325,4325Y2002,3,11,11,9,7,2,1,2,3,0.004703247,0.004703247,0.009406495,1
2003,4325,4325Y2003,2,7,4,3,3,3,0,1,1,-0.005786675,-0.002919404,-0.008706079,1
2001,4326,4326Y2001,1,5,5,3,3,1,1,3,4,0.001754386,0.019298246,0.021052632,1
2002,4326,4326Y2002,1,5,5,4,4,2,1,4,5,0.004703247,0.025979843,0.030683091,1
2003,4326,4326Y2003,3,9,11,7,7,3,1,4,5,0.001459702,0.018819727,0.020279429,1
2004,4326,4326Y2004,2,4,6,0,0,4,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2006,4378,4378Y2006,1,4,3,3,3,2,1,1,2,0.005402231,0.003405755,0.008807986,1
2004,4383,4383Y2004,3,9,0,0,0,2,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2005,4390,4390Y2005,1,3,0,0,0,2,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,4395,4395Y2006,1,0,1,1,1,2,1,0,1,0.005402231,-0.004286553,0.001115678,1
2000,4399,4399Y2000,2,9,6,2,2,6,0,3,3,-0.015082956,0.029788839,0.014705882,1
2000,4401,4401Y2000,3,14,8,2,2,9,0,2,2,-0.015082956,0.010180995,-0.004901961,1
2000,4402,4402Y2000,2,7,4,4,4,6,1,0,1,0.004524887,-0.029034691,-0.024509804,1
2001,4402,4402Y2001,1,3,3,2,2,7,0,0,0,-0.011578947,-0.020701754,-0.032280702,1
2000,4403,4403Y2000,2,8,7,7,7,5,1,4,5,0.004524887,0.049396682,0.053921569,1
2001,4403,4403Y2001,2,9,9,8,8,6,1,6,7,0.001754386,0.059298246,0.061052632,1
2002,4403,4403Y2002,2,10,10,5,8,7,1,4,5,0.004703247,0.025979843,0.030683091,1
2003,4403,4403Y2003,2,4,7,3,3,8,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2000,4406,4406Y2000,2,4,3,3,3,5,1,1,2,0.004524887,-0.009426848,-0.004901961,1
2001,4406,4406Y2001,2,10,10,6,10,6,1,0,1,0.001754386,-0.020701754,-0.018947368,1
2000,4409,4409Y2000,2,7,7,3,4,6,1,0,1,0.004524887,-0.029034691,-0.024509804,1
2001,4409,4409Y2001,2,9,9,9,8,7,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2000,4410,4410Y2000,2,7,5,4,4,6,1,0,1,0.004524887,-0.029034691,-0.024509804,1
2001,4410,4410Y2001,2,9,8,5,5,7,1,3,4,0.001754386,0.019298246,0.021052632,1
2000,4411,4411Y2000,3,14,15,8,8,6,0,4,4,-0.015082956,0.049396682,0.034313725,1
2000,4412,4412Y2000,3,14,13,4,4,NA,1,3,4,0.004524887,0.029788839,0.034313725,1
2001,4412,4412Y2001,2,8,7,4,8,NA,1,3,4,0.001754386,0.019298246,0.021052632,1
2000,4413,4413Y2000,2,9,6,5,6,NA,1,1,2,0.004524887,-0.009426848,-0.004901961,1
2003,4413,4413Y2003,4,13,14,7,2,NA,1,2,3,0.001459702,0.004326973,0.005786675,1
2000,4414,4414Y2000,2,8,8,4,4,NA,0,2,2,-0.015082956,0.010180995,-0.004901961,1
2001,4415,4415Y2001,2,9,8,3,6,NA,1,2,3,0.001754386,0.005964912,0.007719298,1
2002,4415,4415Y2002,4,18,6,1,1,NA,1,0,1,0.004703247,-0.016573348,-0.011870101,1
2003,4415,4415Y2003,1,4,4,4,4,NA,0,2,2,-0.005786675,0.004326973,-0.001459702,1
2000,4416,4416Y2000,1,4,4,2,2,NA,0,1,1,-0.015082956,-0.009426848,-0.024509804,1
2000,4417,4417Y2000,1,4,4,4,4,NA,1,0,1,0.004524887,-0.029034691,-0.024509804,1
2001,4417,4417Y2001,2,8,8,7,7,NA,1,2,3,0.001754386,0.005964912,0.007719298,1
2002,4417,4417Y2002,2,8,7,6,6,NA,1,2,3,0.004703247,0.004703247,0.009406495,1
2003,4417,4417Y2003,3,11,9,4,4,NA,1,5,6,0.001459702,0.026066104,0.027525805,1
2004,4417,4417Y2004,2,7,7,2,2,NA,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2001,4418,4418Y2001,2,9,9,7,8,NA,1,2,3,0.001754386,0.005964912,0.007719298,1
2002,4418,4418Y2002,3,12,10,4,3,NA,1,1,2,0.004703247,-0.00593505,-0.001231803,1
2003,4418,4418Y2003,2,7,6,5,5,NA,1,3,4,0.001459702,0.01157335,0.013033052,1
2004,4418,4418Y2004,3,12,7,6,4,NA,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,4418,4418Y2005,4,15,11,7,5,NA,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2001,4419,4419Y2001,1,7,7,5,5,NA,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2002,4419,4419Y2002,2,7,7,3,4,NA,0,1,1,-0.00593505,-0.00593505,-0.011870101,1
2004,4421,4421Y2004,3,14,12,5,6,3,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,4421,4421Y2005,3,11,8,5,3,4,1,2,3,0.003108639,0.006926265,0.010034904,1
2003,4422,4422Y2003,1,0,2,2,2,2,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,4422,4422Y2004,6,24,18,5,4,3,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2004,4423,4423Y2004,5,23,21,2,6,3,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,4423,4423Y2005,2,8,7,2,4,4,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2000,4428,4428Y2000,1,5,3,3,4,3,1,0,1,0.004524887,-0.029034691,-0.024509804,1
2002,4428,4428Y2002,1,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,1
2000,4429,4429Y2000,3,12,10,6,6,3,1,2,3,0.004524887,0.010180995,0.014705882,1
2001,4429,4429Y2001,2,9,9,4,3,4,1,3,4,0.001754386,0.019298246,0.021052632,1
2000,4432,4432Y2000,3,11,9,4,5,3,1,2,3,0.004524887,0.010180995,0.014705882,1
2001,4432,4432Y2001,2,8,8,8,3,4,1,2,3,0.001754386,0.005964912,0.007719298,1
2000,4433,4433Y2000,1,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,1
2000,4435,4435Y2000,3,15,10,6,3,3,1,2,3,0.004524887,0.010180995,0.014705882,1
2001,4435,4435Y2001,2,10,8,2,3,4,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2002,4435,4435Y2002,2,8,6,0,0,5,1,0,1,0.004703247,-0.016573348,-0.011870101,1
2003,4435,4435Y2003,4,12,14,11,8,6,1,4,5,0.001459702,0.018819727,0.020279429,1
2004,4435,4435Y2004,3,14,11,3,3,7,1,1,2,0.001762632,0.001733255,0.003495887,1
2005,4435,4435Y2005,5,24,20,8,5,8,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,4435,4435Y2006,5,23,17,3,3,9,0,1,1,-0.002290076,0.003405755,0.001115678,1
2000,4439,4439Y2000,2,8,6,4,3,3,1,0,1,0.004524887,-0.029034691,-0.024509804,1
2001,4439,4439Y2001,1,4,3,2,2,4,1,0,1,0.001754386,-0.020701754,-0.018947368,1
2000,4449,4449Y2000,1,5,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
2000,4455,4455Y2000,2,8,7,6,4,1,0,4,4,-0.015082956,0.049396682,0.034313725,1
2000,4463,4463Y2000,1,5,5,4,3,1,1,3,4,0.004524887,0.029788839,0.034313725,1
2001,4463,4463Y2001,1,3,3,3,3,2,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2002,4463,4463Y2002,2,10,9,5,7,3,1,1,2,0.004703247,-0.00593505,-0.001231803,1
2003,4463,4463Y2003,2,9,9,4,4,4,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,4463,4463Y2004,1,2,2,1,0,5,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,4463,4463Y2005,4,13,6,3,4,6,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2000,4464,4464Y2000,1,4,3,2,2,1,1,4,5,0.004524887,0.049396682,0.053921569,1
2002,4464,4464Y2002,3,12,11,7,9,3,1,4,5,0.004703247,0.025979843,0.030683091,1
2003,4464,4464Y2003,1,4,3,2,3,4,0,1,1,-0.005786675,-0.002919404,-0.008706079,1
2001,4467,4467Y2001,1,5,4,2,2,2,1,3,4,0.001754386,0.019298246,0.021052632,1
2002,4467,4467Y2002,1,4,4,4,4,3,1,2,3,0.004703247,0.004703247,0.009406495,1
2003,4467,4467Y2003,1,0,1,1,1,4,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2001,4470,4470Y2001,3,15,13,10,5,2,1,4,5,0.001754386,0.032631579,0.034385965,1
2001,4477,4477Y2001,1,4,4,3,5,2,1,4,5,0.001754386,0.032631579,0.034385965,1
2002,4477,4477Y2002,2,9,8,4,5,3,1,3,4,0.004703247,0.015341545,0.020044793,1
2002,4478,4478Y2002,3,9,9,4,4,3,0,2,2,-0.00593505,0.004703247,-0.001231803,1
2000,4479,4479Y2000,1,4,4,3,3,1,1,0,1,0.004524887,-0.029034691,-0.024509804,1
2000,4482,4482Y2000,1,4,3,1,3,1,1,0,1,0.004524887,-0.029034691,-0.024509804,1
2001,4483,4483Y2001,1,4,4,3,3,2,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2000,4486,4486Y2000,1,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,1
2000,4499,4499Y2000,1,5,4,0,2,6,1,1,2,0.004524887,-0.009426848,-0.004901961,1
2001,4499,4499Y2001,2,12,6,5,5,7,1,1,2,0.001754386,-0.007368421,-0.005614035,1
2003,4503,4503Y2003,5,19,11,4,4,3,1,2,3,0.001459702,0.004326973,0.005786675,1
2004,4503,4503Y2004,3,11,10,2,4,4,0,4,4,-0.00367215,0.018037603,0.014365452,1
2009,4509,4509Y2009,2,9,9,4,4,1,1,2,3,0.007164404,0.013574661,0.020739065,1
2010,4512,4512Y2010,1,1,4,2,2,2,0,2,2,-0.008999122,-0.009218613,-0.018217735,1
2011,4512,4512Y2011,2,0,9,5,5,3,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2010,4573,4573Y2010,2,2,3,1,1,1,0,2,2,-0.008999122,-0.009218613,-0.018217735,1
2011,4616,4616Y2011,2,0,5,5,3,2,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2011,4649,4649Y2011,4,0,12,7,8,2,0,2,2,-0.002055498,0.010226105,0.008170606,1
2010,4664,4664Y2010,3,3,12,3,3,1,1,3,4,0.005926251,0.00570676,0.011633011,1
2011,4664,4664Y2011,1,0,5,3,3,2,0,1,1,-0.002055498,0.00303186,0.000976362,1
2011,4673,4673Y2011,4,0,13,3,3,2,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2010,4682,4682Y2010,3,3,11,5,5,1,1,2,3,0.005926251,-0.009218613,-0.003292362,1
2012,4682,4682Y2012,6,0,23,5,6,3,1,6,7,0.00172117,0.047332186,0.049053356,1
2013,4682,4682Y2013,6,0,24,8,8,4,1,3,4,0.001802009,0.008933364,0.010735373,1
2014,4682,4682Y2014,3,0,11,2,3,5,1,1,2,0.003016039,0.003242678,0.006258717,1
2015,4682,4682Y2015,2,0,2,0,0,6,0,0,0,-0.004503753,-0.007589658,-0.012093411,1
2010,4686,4686Y2010,1,1,0,0,0,1,1,0,1,0.005926251,-0.039069359,-0.033143108,1
2011,4686,4686Y2011,3,0,11,6,6,2,0,1,1,-0.002055498,0.00303186,0.000976362,1
2010,4698,4698Y2010,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1
2010,4703,4703Y2010,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,1
2011,4705,4705Y2011,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
2012,4705,4705Y2012,3,0,12,3,2,3,0,1,1,-0.010327022,-0.012908778,-0.0232358,1
2011,4706,4706Y2011,2,0,6,4,3,2,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2011,4717,4717Y2011,2,0,5,2,2,2,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2010,4722,4722Y2010,1,1,4,2,2,1,1,1,2,0.005926251,-0.024143986,-0.018217735,1
2011,4722,4722Y2011,3,0,11,7,7,2,1,1,2,0.005138746,0.00303186,0.008170606,1
2012,4722,4722Y2012,3,0,9,2,4,3,1,1,2,0.00172117,-0.012908778,-0.011187608,1
2013,4722,4722Y2013,2,0,6,3,3,4,1,4,5,0.001802009,0.015144544,0.016946553,1
2014,4722,4722Y2014,2,0,8,4,3,5,0,1,1,-0.001168061,0.003242678,0.002074616,1
2011,4735,4735Y2011,2,0,9,7,7,2,0,2,2,-0.002055498,0.010226105,0.008170606,1
2011,4737,4737Y2011,1,0,3,0,0,2,0,1,1,-0.002055498,0.00303186,0.000976362,1
2010,4745,4745Y2010,1,0,3,2,2,1,1,2,3,0.005926251,-0.009218613,-0.003292362,1
2013,4745,4745Y2013,3,0,10,2,6,4,1,1,2,0.001802009,-0.003488996,-0.001686987,1
2014,4745,4745Y2014,1,0,1,0,0,5,0,0,0,-0.001168061,-0.000941423,-0.002109484,1
2010,4753,4753Y2010,2,2,7,5,5,1,1,2,3,0.005926251,-0.009218613,-0.003292362,1
2011,4753,4753Y2011,3,1,11,6,7,2,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2010,4757,4757Y2010,3,2,12,6,6,1,1,4,5,0.005926251,0.020632133,0.026558385,1
2011,4757,4757Y2011,3,0,11,5,5,2,1,1,2,0.005138746,0.00303186,0.008170606,1
2012,4757,4757Y2012,2,0,8,6,6,3,1,7,8,0.00172117,0.059380379,0.061101549,1
2013,4757,4757Y2013,2,0,8,1,2,4,1,2,3,0.001802009,0.002722184,0.004524193,1
2014,4757,4757Y2014,1,0,4,1,1,5,0,1,1,-0.001168061,0.003242678,0.002074616,1
2011,4758,4758Y2011,1,0,4,0,0,2,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2011,4765,4765Y2011,2,0,9,3,5,1,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2011,4768,4768Y2011,3,0,13,7,7,1,1,0,1,0.005138746,-0.004162384,0.000976362,1
2012,4768,4768Y2012,4,0,16,3,3,2,1,0,1,0.00172117,-0.024956971,-0.0232358,1
2013,4768,4768Y2013,3,0,10,2,3,3,1,2,3,0.001802009,0.002722184,0.004524193,1
2014,4768,4768Y2014,4,0,10,0,1,4,0,0,0,-0.001168061,-0.000941423,-0.002109484,1
2011,4812,4812Y2011,2,0,6,0,2,NA,NA,NA,NA,NA,NA,NA,1
2011,4847,4847Y2011,2,0,8,4,3,1,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2011,4852,4852Y2011,2,0,8,2,2,1,0,1,1,-0.002055498,0.00303186,0.000976362,1
2011,4868,4868Y2011,2,0,8,3,3,1,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2011,4885,4885Y2011,2,0,5,3,2,1,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2011,4895,4895Y2011,3,0,11,7,7,1,1,0,1,0.005138746,-0.004162384,0.000976362,1
2012,4895,4895Y2012,3,1,11,2,3,2,1,1,2,0.00172117,-0.012908778,-0.011187608,1
2013,4895,4895Y2013,3,0,11,4,2,3,1,2,3,0.001802009,0.002722184,0.004524193,1
2014,4895,4895Y2014,5,0,19,3,2,4,0,4,4,-0.001168061,0.015794979,0.014626918,1
2012,4896,4896Y2012,1,0,4,1,0,2,1,3,4,0.00172117,0.011187608,0.012908778,1
2015,4896,4896Y2015,3,0,0,0,0,5,1,4,5,0.004670559,0.02910759,0.033778148,1
2016,4896,4896Y2016,3,0,11,6,4,6,0,0,0,0,0,NA,1
2017,4896,4896Y2017,1,0,3,1,2,NA,NA,NA,NA,NA,NA,NA,1
2011,4900,4900Y2011,2,1,7,3,1,1,1,0,1,0.005138746,-0.004162384,0.000976362,1
2012,4900,4900Y2012,3,0,12,6,5,2,1,1,2,0.00172117,-0.012908778,-0.011187608,1
2013,4900,4900Y2013,1,0,4,4,4,3,1,3,4,0.001802009,0.008933364,0.010735373,1
2014,4900,4900Y2014,3,0,13,2,1,4,1,0,1,0.003016039,-0.000941423,0.002074616,1
2015,4900,4900Y2015,2,0,7,6,3,5,1,3,4,0.004670559,0.019933278,0.024603837,1
2016,4900,4900Y2016,3,0,13,7,8,6,0,0,0,0,0,NA,1
2017,4900,4900Y2017,3,0,10,3,2,NA,NA,NA,NA,NA,NA,NA,1
2011,4901,4901Y2011,1,0,1,1,0,1,0,1,1,-0.002055498,0.00303186,0.000976362,1
2011,4903,4903Y2011,1,0,0,0,0,1,0,1,1,-0.002055498,0.00303186,0.000976362,1
2011,4906,4906Y2011,1,0,2,0,0,1,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2011,4907,4907Y2011,3,0,13,5,2,1,0,0,0,-0.002055498,-0.004162384,-0.006217883,1
2011,4914,4914Y2011,3,0,8,3,3,1,0,1,1,-0.002055498,0.00303186,0.000976362,1
2011,4929,4929Y2011,1,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,1
2013,4929,4929Y2013,3,0,10,4,4,3,1,6,7,0.001802009,0.027566904,0.029368913,1
2014,4929,4929Y2014,4,0,11,5,6,4,1,1,2,0.003016039,0.003242678,0.006258717,1
2015,4929,4929Y2015,1,0,2,2,2,5,0,1,1,-0.004503753,0.001584654,-0.002919099,1
2012,4943,4943Y2012,3,1,10,5,5,2,1,6,7,0.00172117,0.047332186,0.049053356,1
2013,4943,4943Y2013,5,0,8,1,1,3,1,2,3,0.001802009,0.002722184,0.004524193,1
2014,4943,4943Y2014,2,0,7,1,1,4,1,0,1,0.003016039,-0.000941423,0.002074616,1
2015,4943,4943Y2015,4,0,11,5,1,5,1,1,2,0.004670559,0.001584654,0.006255213,1
2016,4943,4943Y2016,2,0,3,1,1,6,0,0,0,0,0,NA,1
2017,4943,4943Y2017,3,0,6,2,2,NA,NA,NA,NA,NA,NA,NA,1
