Year,BirdID,BirdID_Year,Annual_Number_Broods,Annual_Number_Eggs,Annual_Hatchlings,Annual_Fledgelings_Genetic,AnnFledgeRaised,Age,Survival_CurrentYear,Genetic_Recruits,eti,sti,fti,pti,Sex
2003,354,354Y2003,2,5,6,3,3,1,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,354,354Y2004,3,12,8,2,4,2,1,1,2,0.001762632,0.001733255,0.003495887,1
2005,354,354Y2005,3,16,12,7,4,3,0,1,1,-0.002126963,0.001690663,-0.0004363,1
2003,356,356Y2003,2,8,3,2,3,1,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,356,356Y2004,3,11,10,4,2,2,1,1,2,0.001762632,0.001733255,0.003495887,1
2005,356,356Y2005,4,16,12,8,9,3,1,2,3,0.003108639,0.006926265,0.010034904,1
2003,363,363Y2003,2,9,8,5,7,1,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,363,363Y2004,1,4,4,4,3,2,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2003,370,370Y2003,1,6,3,0,0,1,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,370,370Y2004,2,8,4,0,0,2,0,1,1,-0.00367215,0.001733255,-0.001938895,1
2003,383,383Y2003,2,5,8,3,3,1,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,383,383Y2004,4,19,16,4,1,2,0,1,1,-0.00367215,0.001733255,-0.001938895,1
2004,393,393Y2004,3,11,8,4,5,2,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,393,393Y2005,4,16,11,4,3,3,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2004,409,409Y2004,4,16,12,5,2,2,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,409,409Y2005,2,8,8,5,3,3,0,2,2,-0.002126963,0.006926265,0.004799302,1
2003,417,417Y2003,3,7,7,5,5,1,1,2,3,0.001459702,0.004326973,0.005786675,1
2004,417,417Y2004,2,8,6,4,4,2,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,417,417Y2005,3,14,11,8,8,3,1,2,3,0.003108639,0.006926265,0.010034904,1
2006,417,417Y2006,2,8,8,7,7,4,1,4,5,0.005402231,0.026482678,0.031884909,1
2007,417,417Y2007,5,17,15,8,8,5,0,1,1,-0.002553626,0.008043922,0.005490296,1
2004,418,418Y2004,3,9,8,2,0,2,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,418,418Y2005,3,9,5,3,2,3,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,418,418Y2006,3,8,9,6,7,4,0,2,2,-0.002290076,0.011098062,0.008807986,1
2003,421,421Y2003,2,8,6,0,2,1,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,421,421Y2004,2,6,6,5,4,2,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,421,421Y2005,3,14,12,4,6,3,0,1,1,-0.002126963,0.001690663,-0.0004363,1
2003,422,422Y2003,2,5,5,2,2,1,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2003,448,448Y2003,1,4,3,0,0,1,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2003,456,456Y2003,1,4,3,1,1,1,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,456,456Y2004,4,18,11,4,2,2,0,2,2,-0.00367215,0.007168038,0.003495887,1
2005,456,456Y2005,1,5,1,0,0,3,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2003,457,457Y2003,1,4,4,2,1,1,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,457,457Y2004,3,13,12,0,2,2,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,457,457Y2005,4,18,15,8,7,3,1,2,3,0.003108639,0.006926265,0.010034904,1
2006,457,457Y2006,2,7,2,1,0,4,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2003,460,460Y2003,1,0,4,0,0,1,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,460,460Y2004,3,11,10,6,5,2,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,460,460Y2005,4,19,11,8,7,3,0,3,3,-0.002126963,0.012161867,0.010034904,1
2004,466,466Y2004,3,13,7,6,3,2,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,466,466Y2005,3,16,14,5,6,3,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,466,466Y2006,3,13,11,0,1,4,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2005,494,494Y2005,1,3,1,0,0,NA,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,494,494Y2006,2,10,7,5,5,NA,0,1,1,-0.002290076,0.003405755,0.001115678,1
2004,499,499Y2004,2,6,6,3,0,NA,1,1,2,0.001762632,0.001733255,0.003495887,1
2004,500,500Y2004,3,15,13,4,2,NA,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,500,500Y2005,3,15,13,11,11,NA,1,3,4,0.003108639,0.012161867,0.015270506,1
2006,500,500Y2006,1,4,2,1,2,NA,0,0,0,-0.002290076,-0.004286553,-0.006576629,1
2004,504,504Y2004,2,8,7,4,3,NA,1,1,2,0.001762632,0.001733255,0.003495887,1
2005,504,504Y2005,6,25,15,9,7,NA,0,3,3,-0.002126963,0.012161867,0.010034904,1
2005,505,505Y2005,5,12,12,5,2,NA,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
2004,513,513Y2004,4,15,12,6,4,NA,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2004,517,517Y2004,4,14,11,3,1,1,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2004,537,537Y2004,1,4,3,0,1,1,1,2,3,0.001762632,0.007168038,0.00893067,1
2005,537,537Y2005,2,10,9,8,7,2,0,1,1,-0.002126963,0.001690663,-0.0004363,1
2003,590,590Y2003,2,7,6,3,3,1,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,590,590Y2004,4,11,13,4,6,2,1,1,2,0.001762632,0.001733255,0.003495887,1
2004,591,591Y2004,3,13,12,5,3,2,1,3,4,0.001762632,0.01260282,0.014365452,1
2005,591,591Y2005,5,25,13,4,3,3,0,0,0,-0.002126963,-0.003544939,-0.005671902,1
