"femID","Female_total_EPO_clutches","BroodName","femaleCohort","SocialDadID","FWPO","FEPO","FTO","FPercentEP","F_EPP_brood","F_total_Brood_number","F_total_Partner_number","Number_Broods_with_Partner","F_Percent_clutch_EP","Sex","Age","Dam","maleCohort","BroodRef","maleID","EventDate","male_brood_WPO","male_brood_EPO","Male_Year_WPO","Male_Year_EPO","M_EPP_Year","M_EPP_brood"
60,2,"B036",2002,4419,2,1,3,0.333333333333333,1,4,4,2,0.5,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2,"C066",2003,24,5,0,5,0,0,4,4,2,0.5,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,2,"C117",2003,24,5,0,5,0,0,4,4,2,0.5,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,"C006",2003,145,2,0,2,0,0,6,6,2,0.166666666666667,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,"C096",2003,145,4,0,4,0,0,6,6,2,0.166666666666667,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,"D059",2004,287,3,3,6,0.5,1,6,6,4,0.166666666666667,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,"D150",2004,287,5,0,5,0,0,6,6,4,0.166666666666667,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,"E041",2005,287,5,0,5,0,0,6,6,4,0.166666666666667,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,"E145",2005,287,4,0,4,0,0,6,6,4,0.166666666666667,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,0,"B031",2002,4295,1,0,1,0,0,5,5,2,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,0,"B057",2002,4295,3,0,3,0,0,5,5,2,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,0,"C034",2003,115,1,0,1,0,0,5,5,2,0,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,0,"C076",2003,115,1,0,1,0,0,5,5,2,0,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,0,"C115",2003,4503,4,0,4,0,0,5,5,1,0,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,0,"B014",2002,4153,3,0,3,0,0,1,1,1,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,7,"C048",2003,132,1,2,3,0.666666666666667,1,8,8,5,0.875,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,7,"C100",2003,132,4,1,5,0.2,1,8,8,5,0.875,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,7,"D089",2004,132,3,0,3,0,0,8,8,5,0.875,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,7,"D166",2004,132,3,1,4,0.25,1,8,8,5,0.875,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,7,"D208",2004,132,2,1,3,0.333333333333333,1,8,8,5,0.875,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,7,"E080",2005,1448,3,1,4,0.25,1,8,8,3,0.875,"0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
