"ID","Female_total_EPO_clutches","BroodName","Cohort","SocialDadID","FWPO","FEPO","FTO","FPercentEP","F_EPP_brood","F_total_Brood_number","F_total_Partner_number","Number_Broods_with_Partner","F_Percent_clutch_EP","Sex","Age"
206,7,"D002",2004,663,1,0,1,0,0,17,17,7,0.411764705882353,"0",3
206,7,"D068",2004,663,5,0,5,0,0,17,17,7,0.411764705882353,"0",3
206,7,"D119",2004,663,2,0,2,0,0,17,17,7,0.411764705882353,"0",3
206,7,"D161",2004,663,2,3,5,0.6,1,17,17,7,0.411764705882353,"0",3
206,7,"E012",2005,2018,3,0,3,0,0,17,17,5,0.411764705882353,"0",4
206,7,"E081",2005,2018,4,1,5,0.2,1,17,17,5,0.411764705882353,"0",4
206,7,"E156",2005,2018,2,0,2,0,0,17,17,5,0.411764705882353,"0",4
206,7,"E196",2005,2018,6,0,6,0,0,17,17,5,0.411764705882353,"0",4
206,7,"F010",2006,2018,2,1,3,0.333333333333333,1,17,17,5,0.411764705882353,"0",5
206,7,"F041",2006,2906,3,1,4,0.25,1,17,17,1,0.411764705882353,"0",5
206,7,"F091",2006,2661,4,0,4,0,0,17,17,2,0.411764705882353,"0",5
206,7,"F126",2006,2661,5,0,5,0,0,17,17,2,0.411764705882353,"0",5
253,0,"C008",2003,417,2,0,2,0,0,3,3,3,0,"0",1
253,0,"C080",2003,417,3,0,3,0,0,3,3,3,0,"0",1
253,0,"C116",2003,417,3,0,3,0,0,3,3,3,0,"0",1
256,6,"C003",2003,4230,3,0,3,0,0,9,9,1,0.666666666666667,"0",1
256,6,"C046",2003,129,3,0,3,0,0,9,9,1,0.666666666666667,"0",1
256,6,"D056",2004,132,2,2,4,0.5,1,9,9,2,0.666666666666667,"0",2
256,6,"D142",2004,132,2,1,3,0.333333333333333,1,9,9,2,0.666666666666667,"0",2
256,6,"E077",2005,1448,2,1,3,0.333333333333333,1,9,9,1,0.666666666666667,"0",3
256,6,"E148",2005,650,4,1,5,0.2,1,9,9,4,0.666666666666667,"0",3
256,6,"F025",2006,650,1,1,2,0.5,1,9,9,4,0.666666666666667,"0",4
256,6,"F058",2006,650,3,1,4,0.25,1,9,9,4,0.666666666666667,"0",4
256,6,"F104",2006,650,5,0,5,0,0,9,9,4,0.666666666666667,"0",4
284,0,"C042",2003,4275,2,0,2,0,0,6,6,1,0,"0",1
284,0,"C085",2003,4403,4,0,4,0,0,6,6,1,0,"0",1
284,0,"C094",2003,4464,3,0,3,0,0,6,6,1,0,"0",1
284,0,"D031",2004,456,2,0,2,0,0,6,6,3,0,"0",2
284,0,"D082",2004,456,4,0,4,0,0,6,6,3,0,"0",2
